Type,Slot,BlockTime Unix,BlockTime,Fee (SOL),Is Inner,TxHash,From,Source Token Account,To,Dest Token Account,Amount,Symbol,Decimals,TokenAddress
spl-transfer,194830843,1684525172,2023-05-19T19:39:32.000Z,10000,,35TdPbPsiZTDDBQwjRAC5ECKBmLHH9GsjqjsjgNkoJU2ULRZV1PpYsKMQr6B9fTJ7HK1FxU9eRf66AfwZyCH2NTp,EWtakNpNoQWrj2t95SDkJgrkpNzJo1rzxBJQM4hrrr94,4FSSZd7pnk2nMcMKJWjBLtCwa6uVWiUNZJ5fvQ4vJFzK,8qGJDF8tmkMHxqr6wvgWPZKCJQQkLAVe5D9tmP67MKn9,3h5fsEj8mJcDrpFNtHovui93hS2f1ZoUTXfZixf4uSuU,50000000,SUD$,6,4SL1b6QLqDZLVXwfe8dbCazJQsXx2uVDUthYfktbhpBL
spl-transfer,194830842,1684525172,2023-05-19T19:39:32.000Z,10000,,wRRWfX2Bf7ALFYdnsMFFoNqh9P9BKuUwT1iw2ZAMw9m653xnwQpGyECXBiGR1dg9rtDDthaM188mPfGVT9HcbFT,EWtakNpNoQWrj2t95SDkJgrkpNzJo1rzxBJQM4hrrr94,4FSSZd7pnk2nMcMKJWjBLtCwa6uVWiUNZJ5fvQ4vJFzK,8qGJDF8tmkMHxqr6wvgWPZKCJQQkLAVe5D9tmP67MKn9,3h5fsEj8mJcDrpFNtHovui93hS2f1ZoUTXfZixf4uSuU,170000000,SUD$,6,4SL1b6QLqDZLVXwfe8dbCazJQsXx2uVDUthYfktbhpBL
spl-transfer,194830364,1684524947,2023-05-19T19:35:47.000Z,10000,,maaw6TsRNBipeCMaYaTGA5ZMxKivd3VHK4uEtDysVj8sXyzrXZi9giNZbLZEZLxeL5A6FTpfKxZMGt4rACzXCaa,FKhyBZQAkLyv5oX3KLxwrmkKyedofqrGMfLHXyumE8nn,5dYpssntVXpDcqZfpohuUBAr6aeciNM9K6WowAi6e5JX,3aGu1Qr9tGzHG5VqiWqkabUa2PVoqdjnJxA5uyDwnevG,BM46KycnvwbGHUXi77wo7fUD6Q4okd7pAXEVyo2E9gTo,150000000,SUD$,6,4SL1b6QLqDZLVXwfe8dbCazJQsXx2uVDUthYfktbhpBL
spl-transfer,194829691,1684524629,2023-05-19T19:30:29.000Z,10000,,sWTvyWEWRZC3UBZUoQoiryjvKhEbhh5o5zpcW5gXMsRDKf1eXUtDTxcFWMtcAZwWw1M23F3i2zSNxX3fJziH5oR,EWtakNpNoQWrj2t95SDkJgrkpNzJo1rzxBJQM4hrrr94,4FSSZd7pnk2nMcMKJWjBLtCwa6uVWiUNZJ5fvQ4vJFzK,FTCGNHfuKR3pFfdsupGW3sno8AdHgi54HnHe7bQYWVj8,7axcBeqV21Hn2p1PHxczzqrFgtwaEbMmKUYiEFfmd3vr,75000000,SUD$,6,4SL1b6QLqDZLVXwfe8dbCazJQsXx2uVDUthYfktbhpBL
spl-transfer,194829687,1684524627,2023-05-19T19:30:27.000Z,10000,,5TH4B3P7e3fu8EXgBBNKE4F3YrhSB4HyLVHr8huYCkiohkRQcQQ4bmgcc6BtUAXe62zoJKs335HQhLVqzJvkNtgp,EWtakNpNoQWrj2t95SDkJgrkpNzJo1rzxBJQM4hrrr94,4FSSZd7pnk2nMcMKJWjBLtCwa6uVWiUNZJ5fvQ4vJFzK,8qGJDF8tmkMHxqr6wvgWPZKCJQQkLAVe5D9tmP67MKn9,3h5fsEj8mJcDrpFNtHovui93hS2f1ZoUTXfZixf4uSuU,50000000,SUD$,6,4SL1b6QLqDZLVXwfe8dbCazJQsXx2uVDUthYfktbhpBL
spl-transfer,194829205,1684524397,2023-05-19T19:26:37.000Z,10000,,4dVTw7N2b3VBbkd8FrZmKhzmXwYJ1qaGcvS16utEnuxcA94SXBm82qq1Hyhb1xsrznC5pHUxB5ScXwDRoJLEdN3P,EWtakNpNoQWrj2t95SDkJgrkpNzJo1rzxBJQM4hrrr94,4FSSZd7pnk2nMcMKJWjBLtCwa6uVWiUNZJ5fvQ4vJFzK,2bLhDSJshavVdsiCjDqoU9wD4C5oenQGBckVnAVKzS2L,4esbHxqAnmc7T8N2hTGVFbhFTicKM6Jaov4wNrQAdtWA,1000000,SUD$,6,4SL1b6QLqDZLVXwfe8dbCazJQsXx2uVDUthYfktbhpBL
spl-transfer,194829104,1684524347,2023-05-19T19:25:47.000Z,10000,,42ePcedRAj4tYbrigGjXLq7k8JECSUFLq1DDzkZTM3PFraRJWVF4a6RWZgU6UQmnyWodjxeAkq4nG5hDzFK9cgUt,4SLngEMtMpx2pVNoZzEsAuNstJp4mLxvcySD44XvpeKA,3tvC4HJBr9vNt2k1qGgcPQcePvbdwTxZ2YzxZRaeykD2,3aGu1Qr9tGzHG5VqiWqkabUa2PVoqdjnJxA5uyDwnevG,BM46KycnvwbGHUXi77wo7fUD6Q4okd7pAXEVyo2E9gTo,150000000,SUD$,6,4SL1b6QLqDZLVXwfe8dbCazJQsXx2uVDUthYfktbhpBL
spl-transfer,194828812,1684524212,2023-05-19T19:23:32.000Z,10000,,51AdfYZcZMpF32TeAwEXcKqNhL1uPck4aVaN9eaPHFfa6i7ZtVw8oa2FC1G7CjfhrAqdtih4hSGaNEBj2yyCwK9E,FTCGNHfuKR3pFfdsupGW3sno8AdHgi54HnHe7bQYWVj8,7axcBeqV21Hn2p1PHxczzqrFgtwaEbMmKUYiEFfmd3vr,3aGu1Qr9tGzHG5VqiWqkabUa2PVoqdjnJxA5uyDwnevG,BM46KycnvwbGHUXi77wo7fUD6Q4okd7pAXEVyo2E9gTo,150000000,SUD$,6,4SL1b6QLqDZLVXwfe8dbCazJQsXx2uVDUthYfktbhpBL
spl-transfer,194827373,1684523531,2023-05-19T19:12:11.000Z,15000,,4oLvnHrFeSr1coYorPwFbX4dbdhhMC5rWNgQwRGjcEbGGsNb6ZytG8cK66nsiR5Mt9L9jUshafq7XemJfvXz7pNd,6HYC63Emr8a8br43yLAGMAd17JBhxQy9jH1NN9MSciyh,2gM8sfExyyT9u2iUA87uFbNTMbhGGzGXh7uvhUaknoni,4SLngEMtMpx2pVNoZzEsAuNstJp4mLxvcySD44XvpeKA,3tvC4HJBr9vNt2k1qGgcPQcePvbdwTxZ2YzxZRaeykD2,300000000,SUD$,6,4SL1b6QLqDZLVXwfe8dbCazJQsXx2uVDUthYfktbhpBL
spl-transfer,194825657,1684522726,2023-05-19T18:58:46.000Z,10000,,CLgjgARVStccijjYsZdCR9qgfTRQYzfPkBpzn429Mht9YscwvPbFSVBcnc2DjwXi1x7dG8dkxFU2FU3v2KAg5yc,EWtakNpNoQWrj2t95SDkJgrkpNzJo1rzxBJQM4hrrr94,4FSSZd7pnk2nMcMKJWjBLtCwa6uVWiUNZJ5fvQ4vJFzK,FdvvFoRqUVSNY6BDPaWViShMWFfcxtfLHR2RkVXuiMDd,EAGNJURRHRHV8buqSyRHMJAQUukFa9zEA9RCcZuku38r,50000000,SUD$,6,4SL1b6QLqDZLVXwfe8dbCazJQsXx2uVDUthYfktbhpBL
